id,x,y,plot,species,height_cm,elevation,slope,twi,distance_m,mpb_class,fire_class
133,524174.68,5446887.63,3,Pinus_contorta,13,1301,24.7,4.85,9.7,0,2
134,524204.55,5446887.29,3,Pinus_contorta,16,1284,24.2,6.29,37.7,0,2
135,524174.68,5446887.63,3,Pinus_contorta,27,1301,24.7,4.85,9.7,0,2
136,524204.55,5446887.29,3,Pinus_contorta,13,1284,24.2,6.29,37.7,0,2
137,524174.68,5446887.63,3,Pinus_contorta,30,1301,24.7,4.85,9.7,0,2
138,524204.26,5446885.47,3,Pinus_contorta,21,1303,24.6,6.72,37.0,0,2
139,524175.84,5446885.09,3,Pinus_contorta,12,1312,23.6,5.75,9.4,0,2
140,524172.69,5446919.17,3,Pinus_contorta,13,1290,22.7,5.53,42.7,0,2
141,524168.49,5446942.96,3,Pinus_contorta,29,1290,22.7,5.53,34.6,0,3
142,524167.59,5446992.97,3,Pinus_contorta,17,1276,22.0,1.58,28.3,0,2
143,524167.22,5446923.49,3,Pinus_contorta,15,1290,22.7,5.53,15.3,0,2
144,524169.04,5447048.85,3,Pinus_contorta,16,1268,26.7,0.24,36.7,0,2
145,524186.24,5446885.41,3,Pinus_contorta,13,1303,24.6,6.72,10.8,0,2
146,524186.24,5446885.41,3,Pinus_contorta,9,1303,24.6,6.72,10.8,0,2
147,524186.24,5446885.41,3,Pinus_contorta,9,1303,24.6,6.72,10.8,0,2
148,524185.61,5446886.05,3,Pinus_contorta,18,1292,24.4,5.61,10.8,0,2
149,524185.61,5446886.05,3,Pinus_contorta,12,1292,24.4,5.61,10.8,0,2
150,524200.16,5446887.85,3,Pinus_contorta,11,1292,24.4,5.61,36.4,0,2
151,524169.44,5447016.2,3,Pinus_contorta,23,1274,23.1,7.33,33.1,0,2
152,524188.49,5446885.65,3,Pinus_contorta,15,1303,24.6,6.72,11.0,0,2
153,524187.06,5446886.13,3,Pinus_contorta,26,1292,24.4,5.61,11.0,0,2
154,524166.4,5446923.75,3,Pinus_contorta,15,1290,22.7,5.53,42.7,0,2
155,524192.75,5446885.2,3,Pinus_contorta,6,1303,24.6,6.72,11.5,0,2
156,524337.16,5446888.03,3,Pinus_contorta,11,1224,20.8,5.83,65.1,0,4
157,524317.84,5446893.32,3,Pinus_contorta,19,1230,21.0,5.85,65.5,0,4
158,524166.08,5446968.31,3,Pinus_contorta,15,1284,22.3,5.35,23.6,0,2
