"treeID","stemID","dbh","genus","species","family"
125,31316,3.4,"Amelanchier","arborea","Rosaceae"
126,126,36.9,"Carya","tomentosa","Juglandaceae"
127,127,8.4,"Carpinus","caroliniana","Betulaceae"
127,31317,8.2,"Carpinus","caroliniana","Betulaceae"
128,128,1.4,"Asimina","triloba","Annonaceae"
128,31318,1.3,"Asimina","triloba","Annonaceae"
128,36537,1.1,"Asimina","triloba","Annonaceae"
129,129,3.6,"Lindera","benzoin","Lauraceae"
129,31319,1.1,"Lindera","benzoin","Lauraceae"
129,36538,2,"Lindera","benzoin","Lauraceae"
129,38328,2,"Lindera","benzoin","Lauraceae"
129,39116,1.8,"Lindera","benzoin","Lauraceae"
129,39514,1.7,"Lindera","benzoin","Lauraceae"
129,39748,1.6,"Lindera","benzoin","Lauraceae"
129,39885,1.5,"Lindera","benzoin","Lauraceae"
129,39974,1.4,"Lindera","benzoin","Lauraceae"
129,40035,1.3,"Lindera","benzoin","Lauraceae"
130,130,5.2,"Lindera","benzoin","Lauraceae"
130,31320,1.5,"Lindera","benzoin","Lauraceae"
130,36539,1.3,"Lindera","benzoin","Lauraceae"
130,38329,1.2,"Lindera","benzoin","Lauraceae"
130,39117,1.2,"Lindera","benzoin","Lauraceae"
130,39515,1.2,"Lindera","benzoin","Lauraceae"
130,39749,1.1,"Lindera","benzoin","Lauraceae"
130,39886,1.1,"Lindera","benzoin","Lauraceae"
131,131,7.9,"Amelanchier","arborea","Rosaceae"
131,31321,5.6,"Amelanchier","arborea","Rosaceae"
131,36540,2.3,"Amelanchier","arborea","Rosaceae"
132,132,2.4,"Amelanchier","arborea","Rosaceae"
132,31322,2.1,"Amelanchier","arborea","Rosaceae"
133,133,2.7,"Hamamelis","virginiana","Hamamelidaceae"
133,31323,2.6,"Hamamelis","virginiana","Hamamelidaceae"
133,36541,2.1,"Hamamelis","virginiana","Hamamelidaceae"
134,134,1.7,"Hamamelis","virginiana","Hamamelidaceae"
134,31324,1.7,"Hamamelis","virginiana","Hamamelidaceae"
135,31325,3.2,"Cornus","florida","Cornaceae"
136,136,46.6,"Carya","cordiformis","Juglandaceae"
136,31326,40.7,"Carya","cordiformis","Juglandaceae"
136,36542,38.2,"Carya","cordiformis","Juglandaceae"
137,137,3.9,"Hamamelis","virginiana","Hamamelidaceae"
137,31327,3.2,"Hamamelis","virginiana","Hamamelidaceae"
138,138,10.4,"Carpinus","caroliniana","Betulaceae"
138,31328,7.5,"Carpinus","caroliniana","Betulaceae"
139,139,1.4,"Asimina","triloba","Annonaceae"
139,31329,1.1,"Asimina","triloba","Annonaceae"
140,140,3.1,"Carpinus","caroliniana","Betulaceae"
140,31330,1.4,"Carpinus","caroliniana","Betulaceae"
141,141,5,"Amelanchier","arborea","Rosaceae"
141,31331,4.4,"Amelanchier","arborea","Rosaceae"
142,142,1.5,"Cercis","canadensis","Fabaceae"
142,31332,1.4,"Cercis","canadensis","Fabaceae"
142,36543,1.2,"Cercis","canadensis","Fabaceae"
143,143,1.3,"Carya","glabra","Juglandaceae"
143,31333,1.3,"Carya","glabra","Juglandaceae"
143,36544,1.2,"Carya","glabra","Juglandaceae"
144,144,3.4,"Hamamelis","virginiana","Hamamelidaceae"
144,31334,3,"Hamamelis","virginiana","Hamamelidaceae"
144,36545,2.5,"Hamamelis","virginiana","Hamamelidaceae"
144,38330,1.5,"Hamamelis","virginiana","Hamamelidaceae"
145,145,2.9,"Hamamelis","virginiana","Hamamelidaceae"
145,31335,2.7,"Hamamelis","virginiana","Hamamelidaceae"
