"qx","qy","x","y","stems","ba_ha","h_mean","h_max","h_p95","h_sd","cover"
160,200,747740.476570975,4309046.72715169,17,27.0163616439944,23.425325,38.6,36.91,14.3642805173572,0.77
180,200,747760.499505597,4309047.35481331,15,28.5952672068264,15.3561654135338,38.03,35.531,13.4307947950537,0.714285714285714
200,200,747780.52244022,4309047.98247492,10,31.0433140122281,9.44256857855362,36.03,31.34,11.2135621742562,0.58354114713217
220,200,747800.545374842,4309048.61013653,11,42.5660475470647,11.4150626566416,33.88,31.824,11.5336305908685,0.636591478696742
240,200,747820.568309464,4309049.23779814,15,42.4731153093807,21.3670603015075,39.01,34.5925,12.9006542567918,0.811557788944724
260,200,747840.591244087,4309049.86545976,19,65.6195649479128,18.2798753117207,38.37,36.71,14.2002554284919,0.70573566084788
280,200,747860.614178709,4309050.49312137,7,26.2266830606065,20.48005,35.3,34.163,13.6473549540049,0.7275
300,200,747880.637113331,4309051.12078298,10,38.3640299282098,22.4142394014963,39.12,37.62,12.9094310867111,0.8428927680798
320,200,747900.660047954,4309051.74844459,10,42.9798542044048,28.60895,40.51,38.7,12.7486236083457,0.865
340,200,747920.682982576,4309052.37610621,16,81.5419026445611,22.0557393483709,39.88,38.421,15.6642446737218,0.681704260651629
360,200,747940.705917198,4309053.00376782,14,14.4790703966351,22.4476309226933,36,35.22,14.2322757183608,0.755610972568579
380,200,747960.728851821,4309053.63142943,10,15.944917893846,22.569125,35.62,34.6705,13.4392561549876,0.77
0,220,747579.668148569,4309061.64790701,7,29.8420278863576,26.5570676691729,37.4,36.51,12.7701079658801,0.832080200501253
20,220,747599.691083191,4309062.27556862,15,37.2812996551042,26.4316541353383,36.53,35.339,11.6858612234334,0.864661654135338
40,220,747619.714017814,4309062.90323023,8,22.0964508338861,25.5494763092269,36.27,34.39,10.3958379640634,0.890274314214464
60,220,747639.736952436,4309063.53089185,5,8.75608996445279,23.7737,35.98,31.97,9.18300019282116,0.8975
80,220,747659.759887058,4309064.15855346,13,42.9072441441987,17.066433915212,31.18,28.43,10.131472178378,0.795511221945137
